PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
100,32.5956053,129.2959522,-10.303,-121.584,-12.398,1,4929,33,99
101,32.5956085,129.2959528,-10.303,-120.595,-12.25,1,4929,33,99
102,32.5956117,129.2959534,-10.303,-119.606,-12.102,1,4929,33,99
103,32.5956149,129.2959539,-10.303,-118.617,-11.954,1,4929,33,99
104,32.5956181,129.2959545,-10.303,-117.628,-11.806,1,4929,33,99
105,32.5956213,129.2959551,-10.303,-116.639,-11.658,1,4929,33,99
106,32.5956246,129.2959557,-10.303,-115.65,-11.51,1,4929,33,99
107,32.5956278,129.2959562,-10.303,-114.661,-11.362,1,4929,33,99
108,32.595631,129.2959568,-10.303,-113.672,-11.214,1,4929,33,99
109,32.5956342,129.2959574,-10.303,-112.683,-11.066,1,4929,33,99
110,32.5956374,129.2959579,-10.303,-111.694,-10.918,1,4929,33,99
111,32.5956406,129.2959585,-10.303,-110.705,-10.77,1,4929,33,99
112,32.5956438,129.2959591,-10.303,-109.716,-10.622,1,4929,33,99
113,32.595647,129.2959596,-10.303,-108.727,-10.474,1,4929,33,99
114,32.5956502,129.2959602,-10.303,-107.738,-10.326,1,4929,33,99
115,32.5956535,129.2959608,-10.303,-106.749,-10.178,1,4929,33,99
116,32.5956567,129.2959614,-10.303,-105.76,-10.03,1,4929,33,99
117,32.5956599,129.2959619,-10.303,-104.771,-9.882,1,4929,33,99
118,32.5956631,129.2959625,-10.303,-103.782,-9.734,1,4929,33,99
119,32.5956663,129.2959631,-10.303,-102.793,-9.586,1,4929,33,99
120,32.5956695,129.2959636,-10.303,-101.804,-9.438,1,4929,33,99
121,32.5956727,129.2959642,-10.303,-100.815,-9.29,1,4929,33,99
122,32.5956759,129.2959648,-10.303,-99.826,-9.142,1,4929,33,99
123,32.5956791,129.2959654,-10.303,-98.837,-8.994,1,4929,33,99
124,32.5956823,129.2959659,-10.303,-97.848,-8.846,1,4929,33,99
125,32.5956856,129.2959665,-10.303,-96.859,-8.698,1,4929,33,99
126,32.5956888,129.2959671,-10.303,-95.87,-8.55,1,4929,33,99
127,32.595692,129.2959676,-10.303,-94.881,-8.402,1,4929,33,99
128,32.5956952,129.2959682,-10.303,-93.892,-8.254,1,4929,33,99
129,32.5956984,129.2959688,-10.303,-92.903,-8.106,1,4929,33,99
130,32.5957016,129.2959693,-10.303,-91.914,-7.958,1,4929,33,99
131,32.5957048,129.2959699,-10.303,-90.925,-7.81,1,4929,33,99
132,32.595708,129.2959705,-10.303,-89.936,-7.662,1,4929,33,99
133,32.5957112,129.2959711,-10.303,-88.947,-7.514,1,4929,33,99
134,32.5957145,129.2959716,-10.303,-87.958,-7.366,1,4929,33,99
135,32.5957177,129.2959722,-10.303,-86.969,-7.218,1,4929,33,99
136,32.5957209,129.2959728,-10.303,-85.98,-7.07,1,4929,33,99
137,32.5957241,129.2959733,-10.303,-84.991,-6.922,1,4929,33,99
138,32.5957273,129.2959739,-10.303,-84.002,-6.774,1,4929,33,99
139,32.5957305,129.2959745,-10.303,-83.013,-6.626,1,4929,33,99
140,32.5957337,129.295975,-10.303,-82.024,-6.478,1,4929,33,99
141,32.5957369,129.2959756,-10.303,-81.035,-6.33,1,4929,33,99
142,32.5957401,129.2959762,-10.303,-80.046,-6.182,1,4929,33,99
143,32.5957434,129.2959768,-10.303,-79.057,-6.034,1,4929,33,99
144,32.5957466,129.2959773,-10.303,-78.068,-5.886,1,4929,33,99
145,32.5957498,129.2959779,-10.303,-77.079,-5.738,1,4929,33,99
146,32.595753,129.2959785,-10.303,-76.09,-5.59,1,4929,33,99
147,32.5957562,129.295979,-10.303,-75.101,-5.442,1,4929,33,99
148,32.5957594,129.2959796,-10.303,-74.112,-5.294,1,4929,33,99
149,32.5957626,129.2959802,-10.303,-73.123,-5.146,1,4929,33,99
150,32.5957658,129.2959807,-10.303,-72.134,-4.998,1,4929,33,99
151,32.595769,129.2959813,-10.303,-71.145,-4.85,1,4929,33,99
152,32.5957722,129.2959819,-10.303,-70.156,-4.702,1,4929,33,99
153,32.5957755,129.2959825,-10.303,-69.167,-4.554,1,4929,33,99
154,32.5957787,129.295983,-10.303,-68.178,-4.406,1,4929,33,99
155,32.5957819,129.2959836,-10.303,-67.189,-4.258,1,4929,33,99
156,32.5957851,129.2959842,-10.303,-66.2,-4.11,1,4929,33,99
157,32.5957883,129.2959847,-10.303,-65.211,-3.962,1,4929,33,99
158,32.5957915,129.2959853,-10.303,-64.222,-3.814,1,4929,33,99
159,32.5957947,129.2959859,-10.303,-63.233,-3.666,1,4929,33,99
160,32.5957979,129.2959864,-10.303,-62.244,-3.518,1,4929,33,99
161,32.5958011,129.295987,-10.303,-61.255,-3.37,1,4929,33,99
162,32.5958044,129.2959876,-10.303,-60.266,-3.222,1,4929,33,99
163,32.5958076,129.2959882,-10.303,-59.277,-3.074,1,4929,33,99
164,32.5958108,129.2959887,-10.303,-58.288,-2.926,1,4929,33,99
165,32.595814,129.2959893,-10.303,-57.299,-2.778,1,4929,33,99
166,32.5958172,129.2959899,-10.303,-56.31,-2.63,1,4929,33,99
167,32.5958204,129.2959904,-10.303,-55.321,-2.482,1,4929,33,99
168,32.5958236,129.295991,-10.303,-54.332,-2.334,1,4929,33,99
169,32.5958268,129.2959916,-10.303,-53.343,-2.186,1,4929,33,99
170,32.59583,129.2959921,-10.303,-52.354,-2.038,1,4929,33,99
171,32.5958333,129.2959927,-10.303,-51.365,-1.89,1,4929,33,99
172,32.5958365,129.2959933,-10.303,-50.376,-1.742,1,4929,33,99
173,32.5958397,129.2959939,-10.303,-49.387,-1.594,1,4929,33,99
174,32.5958422,129.2959943,-10.303,-48.601,-1.476,1,4929,33,99
175,32.5958448,129.2959948,-10.303,-47.815,-1.358,1,4929,33,99
176,32.5955184,129.295928,-1.616,-148.341,-18.7,1,4929,33,99
177,32.5955216,129.2959285,-1.616,-147.352,-18.552,1,4929,33,99
178,32.5955249,129.2959291,-1.616,-146.363,-18.404,1,4929,33,99
179,32.5955281,129.2959297,-1.616,-145.374,-18.256,1,4929,33,99
180,32.5955313,129.2959302,-1.616,-144.385,-18.108,1,4929,33,99
181,32.5955345,129.2959308,-1.616,-143.396,-17.96,1,4929,33,99
182,32.5955377,129.2959314,-1.616,-142.407,-17.812,1,4929,33,99
183,32.5955409,129.2959319,-1.616,-141.418,-17.664,1,4929,33,99
184,32.5955441,129.2959325,-1.616,-140.429,-17.516,1,4929,33,99
185,32.5955473,129.2959331,-1.616,-139.44,-17.368,1,4929,33,99
186,32.5955505,129.2959337,-1.616,-138.451,-17.22,1,4929,33,99
187,32.5955537,129.2959342,-1.616,-137.462,-17.072,1,4929,33,99
188,32.595557,129.2959348,-1.616,-136.473,-16.924,1,4929,33,99
189,32.5955602,129.2959354,-1.616,-135.484,-16.776,1,4929,33,99
190,32.5955634,129.2959359,-1.616,-134.495,-16.628,1,4929,33,99
191,32.5955666,129.2959365,-1.616,-133.506,-16.48,1,4929,33,99
192,32.5955698,129.2959371,-1.616,-132.517,-16.332,1,4929,33,99
193,32.595573,129.2959377,-1.616,-131.528,-16.184,1,4929,33,99
194,32.5955762,129.2959382,-1.616,-130.539,-16.036,1,4929,33,99
195,32.5955794,129.2959388,-1.616,-129.55,-15.888,1,4929,33,99
196,32.5955826,129.2959394,-1.616,-128.561,-15.74,1,4929,33,99
197,32.5955859,129.2959399,-1.616,-127.572,-15.592,1,4929,33,99
198,32.5955891,129.2959405,-1.616,-126.583,-15.444,1,4929,33,99
199,32.5955923,129.2959411,-1.616,-125.594,-15.296,1,4929,33,99
200,32.5955955,129.2959416,-1.616,-124.605,-15.148,1,4929,33,99
201,32.5955987,129.2959422,-1.616,-123.616,-15,1,4929,33,99
202,32.5956019,129.2959428,-1.616,-122.627,-14.852,1,4929,33,99
203,32.5956051,129.2959434,-1.616,-121.638,-14.704,1,4929,33,99
204,32.5956083,129.2959439,-1.616,-120.649,-14.556,1,4929,33,99
205,32.5956115,129.2959445,-1.616,-119.66,-14.408,1,4929,33,99
206,32.5956148,129.2959451,-1.616,-118.671,-14.26,1,4929,33,99
207,32.595618,129.2959456,-1.616,-117.682,-14.112,1,4929,33,99
208,32.5956212,129.2959462,-1.616,-116.693,-13.964,1,4929,33,99
209,32.5956244,129.2959468,-1.616,-115.704,-13.816,1,4929,33,99
210,32.5956276,129.2959473,-1.616,-114.715,-13.668,1,4929,33,99
