DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
153,152,155,0,0,1,1,1,1,1
154,153,156,0,0,1,1,1,1,1
155,154,157,0,0,1,1,1,1,1
156,155,158,0,0,1,1,1,1,1
157,156,159,0,0,1,1,1,1,1
158,157,160,0,0,1,1,1,1,1
159,158,161,0,0,1,1,1,1,1
160,159,162,0,0,1,1,1,1,1
161,160,163,0,0,1,1,1,1,1
162,161,164,0,0,1,1,1,1,1
163,162,165,0,0,1,1,1,1,1
164,163,166,0,0,1,1,1,1,1
165,164,167,0,0,1,1,1,1,1
166,165,168,0,0,1,1,1,1,1
167,166,169,0,0,1,1,1,1,1
168,167,170,0,0,1,1,1,1,1
169,168,171,0,0,1,1,1,1,1
170,169,172,0,0,1,1,1,1,1
171,170,173,0,0,1,1,1,1,1
172,171,174,0,0,1,1,1,1,1
173,172,175,0,0,1,1,1,1,1
174,173,176,0,0,1,1,1,1,1
175,174,177,0,0,1,1,1,1,1
176,175,178,0,0,1,1,1,1,1
177,176,179,0,0,1,1,1,1,1
178,177,180,0,0,1,1,1,1,1
179,178,181,0,0,1,1,1,1,1
180,179,182,0,0,1,1,1,1,1
181,180,183,0,0,1,1,1,1,1
182,181,184,0,0,1,1,1,1,1
183,182,185,0,0,1,1,1,1,1
184,183,186,0,0,1,1,1,1,1
185,184,187,0,0,1,1,1,1,1
186,185,188,0,0,1,1,1,1,1
187,186,189,0,0,1,1,1,1,1
188,187,190,0,0,1,1,1,1,1
189,188,191,0,0,1,1,1,1,1
190,189,192,0,0,1,1,1,1,1
191,190,193,0,0,1,1,1,1,1
192,191,194,0,0,1,1,1,1,1
193,192,195,0,0,1,1,1,1,1
194,193,196,0,0,1,1,1,1,1
195,194,197,0,0,1,1,1,1,1
196,195,198,0,0,1,1,1,1,1
197,196,199,0,0,1,1,1,1,1
198,197,200,0,0,1,1,1,1,1
199,198,201,0,0,1,1,1,1,1
200,199,202,0,0,1,1,1,1,1
201,200,203,0,0,1,1,1,1,1
202,201,204,0,0,1,1,1,1,1
203,202,205,0,0,1,1,1,1,1
204,203,206,0,0,1,1,1,1,1
205,204,207,0,0,1,1,1,1,1
206,205,208,0,0,1,1,1,1,1
207,206,209,0,0,1,1,1,1,1
208,207,210,0,0,1,1,1,1,1
209,208,211,0,0,1,1,1,1,1
210,209,212,0,0,1,1,1,1,1
211,210,213,0,0,1,1,1,1,1
212,211,214,0,0,1,1,1,1,1
213,212,215,0,0,1,1,1,1,1
214,213,216,0,0,1,1,1,1,1
215,214,217,0,0,1,1,1,1,1
216,215,218,0,0,1,1,1,1,1
217,216,219,0,0,1,1,1,1,1
218,217,220,0,0,1,1,1,1,1
219,218,221,0,0,1,1,1,1,1
220,219,222,0,0,1,1,1,1,1
221,220,223,0,0,1,1,1,1,1
264,263,3,0,0,1,1,1,1,1
265,264,3,0,0,1,1,1,1,1
