PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
29,32.5954958,129.2959741,-10.48,-155.311,-6.714,1,4929,33,99
29,32.5954958,129.2959741,-10.48,-155.311,-6.714,1,4929,33,99
29,32.5954958,129.2959741,-10.48,-155.311,-6.714,1,4929,33,99
30,32.5954768,129.2959714,-10.48,-161.176,-7.433,1,4929,33,99
31,32.5954334,129.3003458,-0.771,-174.538,89.75,1,4929,34,90
32,32.5954494,129.3003482,-0.771,-169.6,90.372,1,4929,34,90
41,32.5958112,129.3000061,-5.575,-58.151,1.581,1,4929,34,90
42,32.5959054,129.3000226,-5.575,-29.144,5.877,1,4929,34,90
43,32.5955207,129.2959572,-5.575,-147.643,-11.101,1,4929,33,99
278,32.5955267,129.2959516,-3.478,-145.804,-12.557,1,4929,33,99
279,32.5955371,129.2959596,-10.262,-142.599,-10.483,1,4929,33,99
280,32.5955374,129.295957,-10.262,-142.505,-11.151,1,4929,33,99
281,32.5955267,129.2959506,-3.478,-145.807,-12.829,1,4929,33,99
282,32.5955267,129.2959496,-3.478,-145.786,-13.089,1,4929,33,99
328,32.5954584,129.2959108,-10.48,-166.844,-23.15,1,4929,33,99
328,32.5954584,129.2959108,-10.48,-166.844,-23.15,1,4929,33,99
329,32.5954541,129.2959435,-10.48,-168.159,-14.667,1,4929,33,99
330,32.5953647,129.2959297,-11.153,-195.703,-18.239,1,4929,33,99
331,32.5953664,129.295895,-11.153,-195.166,-27.262,1,4929,33,99
337,32.595521,129.2959213,-10.48,-147.546,-20.417,1,4929,33,99
337,32.595521,129.2959213,-10.48,-147.546,-20.417,1,4929,33,99
338,32.595517,129.2959566,-10.48,-148.772,-11.256,1,4929,33,99
339,32.5959061,129.3000221,-10.782,-28.93,5.742,1,4929,34,90
340,32.5959129,129.2959876,-10.782,-26.825,-3.227,1,4929,33,99
345,32.5955248,129.2959217,-10.48,-146.365,-20.316,1,4929,33,99
345,32.5955248,129.2959217,-10.48,-146.365,-20.316,1,4929,33,99
346,32.5955208,129.2959573,-10.782,-147.621,-11.084,1,4929,33,99
347,32.5955151,129.2959581,-10.48,-149.375,-10.872,1,4929,33,99
348,32.5955113,129.2959594,-10.48,-150.526,-10.538,1,4929,33,99
349,32.5955067,129.2959621,-10.48,-151.964,-9.83,1,4929,33,99
350,32.5955024,129.2959668,-10.48,-153.266,-8.619,1,4929,33,99
351,32.5954993,129.2959708,-10.48,-154.237,-7.578,1,4929,33,99
352,32.5954975,129.2959746,-10.48,-154.804,-6.583,1,4929,33,99
353,32.5954963,129.2959773,-10.48,-155.151,-5.884,1,4929,33,99
354,32.5954951,129.2959808,-10.48,-155.541,-4.98,1,4929,33,99
384,32.5954975,129.2959747,-10.48,-154.798,-6.577,1,4929,33,99
384,32.5954975,129.2959747,-10.48,-154.798,-6.577,1,4929,33,99
385,32.5954964,129.2959773,-10.48,-155.138,-5.884,1,4929,33,99
386,32.5954951,129.2959808,-10.48,-155.54,-4.991,1,4929,33,99
387,32.5954759,129.2959786,-10.48,-161.438,-5.562,1,4929,33,99
388,32.5954758,129.2959767,-10.48,-161.478,-6.042,1,4929,33,99
389,32.5954752,129.2959748,-10.48,-161.647,-6.538,1,4929,33,99
390,32.5954742,129.2959715,-10.48,-161.958,-7.393,1,4929,33,99
391,32.5954733,129.2959688,-10.48,-162.239,-8.09,1,4929,33,99
392,32.5954718,129.2959648,-10.48,-162.715,-9.133,1,4929,33,99
393,32.5954698,129.2959608,-10.48,-163.336,-10.168,1,4929,33,99
394,32.5954656,129.2959552,-10.48,-164.615,-11.638,1,4929,33,99
