PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
416,32.5954901,129.2959752,-10.303,-157.057,-6.446,1,4929,33,99
417,32.5954897,129.295979,-10.303,-157.197,-5.456,1,4929,33,99
418,32.5954892,129.2959828,-10.303,-157.337,-4.466,1,4929,33,99
419,32.5954888,129.2959866,-10.303,-157.477,-3.476,1,4929,33,99
420,32.5954883,129.2959904,-10.303,-157.617,-2.486,1,4929,33,99
421,32.5954879,129.2959942,-10.303,-157.757,-1.496,1,4929,33,99
422,32.5954874,129.2959981,-10.303,-157.897,-0.506,1,4929,33,99
423,32.595487,129.3000019,-10.303,-158.037,0.484,1,4929,34,90
424,32.5954865,129.3000057,-10.303,-158.177,1.474,1,4929,34,90
425,32.595486,129.3000095,-10.303,-158.317,2.464,1,4929,34,90
426,32.5954856,129.3000133,-10.303,-158.457,3.454,1,4929,34,90
427,32.5954851,129.3000171,-10.303,-158.597,4.444,1,4929,34,90
428,32.5954847,129.3000209,-10.303,-158.737,5.434,1,4929,34,90
429,32.5954842,129.3000247,-10.303,-158.877,6.424,1,4929,34,90
430,32.5954838,129.3000286,-10.303,-159.017,7.414,1,4929,34,90
431,32.5954833,129.3000324,-10.303,-159.157,8.404,1,4929,34,90
432,32.5954829,129.3000362,-10.303,-159.297,9.394,1,4929,34,90
433,32.5954824,129.30004,-10.303,-159.437,10.384,1,4929,34,90
434,32.595482,129.3000438,-10.303,-159.577,11.374,1,4929,34,90
435,32.5954815,129.3000476,-10.303,-159.717,12.364,1,4929,34,90
436,32.595481,129.3000514,-10.303,-159.857,13.354,1,4929,34,90
437,32.5954806,129.3000553,-10.303,-159.997,14.344,1,4929,34,90
438,32.5954801,129.3000591,-10.303,-160.137,15.334,1,4929,34,90
439,32.5954797,129.3000629,-10.303,-160.277,16.324,1,4929,34,90
440,32.5954792,129.3000667,-10.303,-160.417,17.314,1,4929,34,90
441,32.5954788,129.3000705,-10.303,-160.557,18.304,1,4929,34,90
442,32.5954783,129.3000743,-10.303,-160.697,19.294,1,4929,34,90
443,32.5954779,129.3000781,-10.303,-160.837,20.284,1,4929,34,90
444,32.5954774,129.300082,-10.303,-160.977,21.274,1,4929,34,90
445,32.595477,129.3000858,-10.303,-161.117,22.264,1,4929,34,90
