LID,BPID,FPID,BLID,FLID
23,25,26,0,24
24,26,27,23,25
25,27,28,24,26
26,28,25,25,0
27,29,30,0,28
28,30,31,27,29
29,31,32,28,30
30,32,29,29,0
31,33,34,0,32
32,34,35,31,33
33,35,33,32,0
34,36,37,0,35
35,37,38,34,36
36,38,36,35,0
37,41,42,38,0
38,43,41,0,37
39,44,45,0,40
40,45,46,39,41
41,46,47,40,42
42,47,44,41,0
43,48,49,0,0
44,50,51,0,0
45,52,53,0,46
46,53,54,45,47
47,54,55,46,48
48,55,52,47,0
49,56,57,0,0
50,279,280,0,0
